category	item_no	sub_item	item_name	receipt_code	procedure_name	level1_only
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140000610	創傷処置（１００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140000710	創傷処置（１００ｃｍ２以上５００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140000810	創傷処置（５００ｃｍ２以上３０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140000910	創傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140001010	創傷処置（６０００ｃｍ２以上）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140062110	下肢創傷処置（足部（踵を除く）の浅い潰瘍）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140062210	下肢創傷処置（足趾の深い潰瘍・踵部の浅い潰瘍）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140062310	下肢創傷処置（足部（踵を除く）の深い潰瘍・踵部の深い潰瘍）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140032010	熱傷処置（１００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140032110	熱傷処置（１００ｃｍ２以上５００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140032210	熱傷処置（５００ｃｍ２以上３０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036510	熱傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036610	熱傷処置（６０００ｃｍ２以上）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140034830	電撃傷処置（１００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140034930	電撃傷処置（１００ｃｍ２以上５００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035030	電撃傷処置（５００ｃｍ２以上３０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035130	電撃傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035230	電撃傷処置（６０００ｃｍ２以上）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035430	薬傷処置（１００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035530	薬傷処置（１００ｃｍ２以上５００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035630	薬傷処置（５００ｃｍ２以上３０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035730	薬傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140035830	薬傷処置（６０００ｃｍ２以上）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036030	凍傷処置（１００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036130	凍傷処置（１００ｃｍ２以上５００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036230	凍傷処置（５００ｃｍ２以上３０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036330	凍傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）	0
A	GEN_A1		創傷処置（褥瘡の処置を除く）	140036430	凍傷処置（６０００ｃｍ２以上）	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140005610	酸素吸入	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140005750	突発性難聴に対する酸素療法	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140005810	酸素テント	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140005910	間歇的陽圧吸入法	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140037810	鼻マスク式補助換気法	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140006050	体外式陰圧人工呼吸器治療	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140057410	ハイフローセラピー（１５歳以上）	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140009310	人工呼吸	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140063810	人工呼吸（５時間超１５日目以降）	0
A	GEN_A2		呼吸ケア（喀痰吸引のみの場合を除く）	140023510	人工呼吸（５時間超１４日目まで）	0
