receipt_code	drug_name
620000225	グルアセト３５注　５００ｍＬ
620000226	グルアセト３５注　２５０ｍＬ
620000237	生理食塩液　１．３Ｌ
620000238	生理食塩液　１．５Ｌ
620000239	生理食塩液　２Ｌ
620001328	カーミパック生理食塩液Ｌ　１．３Ｌ
620001893	大塚食塩注１０％　２０ｍＬ
620002215	生食注シリンジ「ＮＰ」　１０ｍＬ
620002216	生食注シリンジ「ＮＰ」　２０ｍＬ
620002471	カーミパック生理食塩液Ｌ　１．５Ｌ
620002569	塩化ナトリウム注１モルシリンジ「テルモ」　１モル２０ｍＬ
620002570	塩化ナトリウム注１０％シリンジ「テルモ」　２０ｍＬ
620002947	１０％食塩注シリンジ「タイヨー」　２０ｍＬ
620004100	アセトキープ３Ｇ注　５００ｍＬ
620004101	アセトキープ３Ｇ注　２００ｍＬ
620004136	生食注シリンジ「オーツカ」５ｍＬ
620004137	生理食塩液「ヒカリ」　２５０ｍＬ
620004322	１０％食塩注「小林」　２０ｍＬ
620004658	ＫＣＬ注１０ｍＥｑキット「テルモ」　１モル１０ｍＬ
620004659	ＫＣＬ注２０ｍＥｑキット「テルモ」　１モル２０ｍＬ
620005681	ニソリＭ注　２５０ｍＬ
620005682	ニソリＭ注　５００ｍＬ
620005702	ペロール注　３００ｍＬ
620005703	ペロール注　５００ｍＬ
620005704	ペンライブ注　２００ｍＬ
620005705	ペンライブ注　３００ｍＬ
620005706	ペンライブ注　５００ｍＬ
620005818	塩化ナトリウム注１０％「日新」　２０ｍＬ
620006186	アステマリン３号ＭＧ輸液　５００ｍＬ
620006236	生理食塩液バッグ「フソー」　２５０ｍＬ
620006237	生理食塩液バッグ「フソー」　５００ｍＬ
620006238	生理食塩液バッグ「フソー」　１Ｌ
620006246	ソルアセトＦ輸液　５００ｍＬ
620006247	ソルアセトＦ輸液　１Ｌ
620006248	ソルアセトＤ輸液　２５０ｍＬ
620006249	ソルアセトＤ輸液　５００ｍＬ
620006250	ソルマルト輸液　２００ｍＬ
620006251	ソルマルト輸液　５００ｍＬ
620006252	ソルラクトＳ輸液　２５０ｍＬ
620006253	ソルラクトＳ輸液　５００ｍＬ
620006254	ソルラクトＴＭＲ輸液　２５０ｍＬ
620006255	ソルラクトＴＭＲ輸液　５００ｍＬ
620006256	ソルラクトＤ輸液　２５０ｍＬ
620006257	ソルラクトＤ輸液　５００ｍＬ
620006258	ソルラクト輸液　２５０ｍＬ
620006259	ソルラクト輸液　５００ｍＬ
620006260	ソルラクト輸液　１Ｌ
620006274	ニソリ輸液　５００ｍＬ
620006285	ヒシナルク３号輸液　２００ｍＬ
620006286	ヒシナルク３号輸液　５００ｍＬ
620006330	リプラス１号輸液　２００ｍＬ
620006331	リプラス１号輸液　５００ｍＬ
620006333	リプラス１号輸液　２００ｍＬ
620006334	リプラス１号輸液　５００ｍＬ
620006335	リプラス３号輸液　２００ｍＬ
620006336	リプラス３号輸液　５００ｍＬ
620006337	リプラス３号輸液　２００ｍＬ
620006338	リプラス３号輸液　５００ｍＬ
620006347	リン酸２カリウム注２０ｍＥｑキット「テルモ」　０．５モル２０ｍＬ
620006610	塩化ナトリウム注１０％「フソー」　２０ｍＬ
620006622	生食液５００ｍＬ「ＣＭＸ」
620006623	生食注２０ｍＬ「ＣＭＸ」
620006624	生理食塩液バッグ「フソー」　１．５Ｌ
620006625	生理食塩液ＰＬ「フソー」　２０ｍＬ
620006626	生理食塩液ＰＬ「フソー」　５０ｍＬ
620006627	生理食塩液ＰＬ「フソー」　１００ｍＬ
620006628	生理食塩液ＰＬ「フソー」　２００ｍＬ
620006629	生理食塩液ＰＬ「フソー」　５００ｍＬ
620006630	生理食塩液ＰＬ「フソー」　１Ｌ
620006631	生理食塩液ＰＬ「フソー」　２Ｌ
620006632	生理食塩液「フソー」　５ｍＬ
620006766	リンゲル液「オーツカ」　５００ｍＬ
620007164	アクマルト輸液　５００ｍＬ
620007192	ＥＬ－３号輸液　５００ｍＬ
620007230	塩化Ｎａ補正液１ｍＥｑ／ｍＬ　１モル２０ｍＬ
620007245	大塚生食注２ポート１００ｍＬ
620007277	クリニザルツ輸液　５００ｍＬ
620007282	ＫＮＭＧ３号輸液　５００ｍＬ
620007284	ＫＮ１号輸液　２００ｍＬ
620007285	ＫＮ１号輸液　５００ｍＬ
620007286	ＫＮ２号輸液　５００ｍＬ
620007288	ＫＮ３号輸液　２００ｍＬ
620007289	ＫＮ３号輸液　５００ｍＬ
620007290	ＫＮ４号輸液　５００ｍＬ
620007291	ＫＣＬ補正液１ｍＥｑ／ｍＬ　１モル２０ｍＬ
620007315	１０％ＥＬ－３号輸液　５００ｍＬ
620007337	ソルデム１輸液　２００ｍＬ
620007338	ソルデム１輸液　５００ｍＬ
620007339	ソルデム２輸液　２００ｍＬ
620007340	ソルデム２輸液　５００ｍＬ
620007341	ソルデム３ＡＧ輸液　２００ｍＬ
620007342	ソルデム３ＡＧ輸液　５００ｍＬ
620007343	ソルデム３Ａ輸液　２００ｍＬ
620007344	ソルデム３Ａ輸液　５００ｍＬ
620007345	ソルデム３Ａ輸液　１Ｌ
620007346	ソルデム３ＰＧ輸液　２００ｍＬ
620007347	ソルデム３ＰＧ輸液　５００ｍＬ
620007348	ソルデム３輸液　２００ｍＬ
620007349	ソルデム３輸液　５００ｍＬ
620007354	ソルデム６輸液　２００ｍＬ
620007355	ソルデム６輸液　５００ｍＬ
620007378	デノサリン１輸液　２００ｍＬ
620007379	デノサリン１輸液　５００ｍＬ
620007396	トリフリード輸液　５００ｍＬ
620007397	トリフリード輸液　１Ｌ
620007403	乳酸Ｎａ補正液１ｍＥｑ／ｍＬ　１モル２０ｍＬ
620007434	ハルトマン－Ｇ３号輸液　５００ｍＬ
620007435	ハルトマン－Ｇ３号輸液　２００ｍＬ
620007444	ビカーボン輸液　５００ｍＬ
